C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_46_697.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_46_697.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_46_697.jpg,0,0,0,3.747378E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_46_778.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_46_778.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_46_778.jpg,0,0,0,3.572826E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_46_857.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_46_857.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_46_857.jpg,0,0,0,3.525348E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_46_934.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_46_934.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_46_934.jpg,0,0,0,3.571656E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_47_008.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_47_008.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_47_008.jpg,0,0,0,3.53033E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_47_084.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_47_084.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_47_084.jpg,0,0,0,3.523808E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_47_161.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_47_161.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_47_161.jpg,0,0,0,3.582042E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_47_240.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_47_240.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_47_240.jpg,0,0,0,3.525325E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_47_321.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_47_321.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_47_321.jpg,0,0,0,3.55796E-05
C:\Users\alexs\Desktop\data\IMG\center_2019_07_05_21_52_47_407.jpg,C:\Users\alexs\Desktop\data\IMG\left_2019_07_05_21_52_47_407.jpg,C:\Users\alexs\Desktop\data\IMG\right_2019_07_05_21_52_47_407.jpg,-0.1,0.1133124,0,0.05085851
